Brand,Model,Category,Display,CPU,RAM,Storage,GPU,OS,Weight,Price,Link
Lenovo,Lenovo ThinkBook 14 Gen 7,Ordinateur portable,"14"" 1920 x 1200 pixels",AMD Ryzen 7 7735HS,16 Go,512 Go,AMD Radeon Pro,Windows,1.38 kg,CHF 599.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-14-gen-7-14-amd-ryzen-7-7735hs-16-go-512-go-ch-ordinateur-portable-47076679
HP,HP 250 G10,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel N200,8 Go,256 Go,Intel UHD Graphics,Windows,1.52 kg,CHF 379.–,https://www.digitec.ch/fr/s1/product/hp-250-g10-1560-intel-n200-8-go-256-go-ch-ordinateur-portable-36992521
HP,HP 15-fd1752nz,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core 7 150U,16 Go,1000 Go,Intel UHD Graphics,Windows,1.59 kg,CHF 669.–,https://www.digitec.ch/fr/s1/product/hp-15-fd1752nz-1560-intel-core-7-150u-16-go-1000-go-ch-ordinateur-portable-43709621
ASUS,ASUS TUF Gaming A15,Ordinateur portable,"15.60"" 2560 x 1440 pixels",AMD Ryzen 7 8845HS,16 Go,512 Go,AMD Radeon,Windows,2.20 kg,CHF 1439.–,https://www.digitec.ch/fr/s1/product/asus-tuf-gaming-a15-1560-amd-ryzen-7-8845hs-16-go-512-go-ch-ordinateur-portable-53695740
Lenovo,Lenovo IdeaPad 5 2-en-1,Ordinateur portable,"14"" 1920 x 1200 pixels",Snapdragon X Plus X1P-42-100,16 Go,1000 Go,Qualcomm Adreno,Windows,1.49 kg,CHF 578.68,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-5-2-en-1-14-snapdragon-x-plus-x1p-42-100-16-go-1000-go-ch-ordinateur-portable-49660333?shid=1932272
Apple,Apple MacBook Pro 14 – 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4 Pro,24 Go,512 Go,Apple,MacOS,1.60 kg,CHF 1772.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-pro-24-go-512-go-ch-ordinateur-portable-52511239
Lenovo,Lenovo ThinkPad X1 Carbon Gen 13,Ordinateur portable,"14"" 2880 x 1800 pixels",Intel Core Ultra 7 258V,32 Go,1000 Go,Intel Arc Graphics,Windows,1 kg,CHF 2375.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-x1-carbon-gen-13-14-intel-core-ultra-7-258v-32-go-1000-go-ch-ordinateur-portable-53727701
Apple,Apple MacBook Air - 2025,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M4,16 Go,512 Go,Apple,MacOS,1.24 kg,CHF 1188.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2025-1360-m4-16-go-512-go-ch-ordinateur-portable-55650000
HP,HP Envy x360 14-fc0742nz,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,1000 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 839.–,https://www.digitec.ch/fr/s1/product/hp-envy-x360-14-fc0742nz-14-intel-core-ultra-7-155u-16-go-1000-go-ch-ordinateur-portable-43709622
Lenovo,Lenovo ThinkPad E16 Gen 2,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 5 7535HS,16 Go,512 Go,AMD Radeon,Windows,1.81 kg,CHF 639.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e16-gen-2-16-amd-ryzen-5-7535hs-16-go-512-go-ch-ordinateur-portable-47076608
Lenovo,Lenovo V15 Gen 4,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Ryzen 3 7320U,8 Go,512 Go,AMD Radeon,Windows,1.65 kg,CHF 379.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-gen-4-1560-amd-ryzen-3-7320u-8-go-512-go-ch-ordinateur-portable-24122196
HP,HP ProBook 440 G11,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 1079.–,https://www.digitec.ch/fr/s1/product/hp-probook-440-g11-14-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-46443744
ASUS,ASUS Vivobook S 16 Flip,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 7 7730U,16 Go,1000 Go,AMD Radeon,Windows,1.90 kg,CHF 649.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-s-16-flip-16-amd-ryzen-7-7730u-16-go-1000-go-ch-ordinateur-portable-53695753
HP,HP ProBook 460 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,16 Go,512 Go,Intel Arc Graphics,Windows,1.74 kg,CHF 799.–,https://www.digitec.ch/fr/s1/product/hp-probook-460-g11-16-intel-core-ultra-7-155h-16-go-512-go-ch-ordinateur-portable-46443764
ASUS,ASUS Vivobook 17,Ordinateur portable,"17.30"" 1920 x 1080 pixels",Intel Core i7-1355U,16 Go,1000 Go,Intel Iris Graphics,Windows,2.10 kg,CHF 903.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-17-1730-intel-core-i7-1355u-16-go-1000-go-ch-ordinateur-portable-25400738
Lenovo,Lenovo IdeaPad Pro 5,Ordinateur portable,"16"" 2560 x 1600 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.91 kg,CHF 949.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-pro-5-16-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-41215650
Apple,Apple MacBook Pro 14 - 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4,16 Go,512 Go,Apple,MacOS,1.55 kg,CHF 1469.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-16-go-512-go-ch-ordinateur-portable-52511232
Apple,Apple MacBook Air – 2024,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M3,16 Go,256 Go,Apple,MacOS,1.24 kg,CHF 879.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2024-1360-m3-16-go-256-go-ch-ordinateur-portable-43714029
Lenovo,Lenovo ThinkPad E14 Gen 6,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 5 125U,16 Go,512 Go,Intel Arc Graphics,Windows,1.44 kg,CHF 899.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e14-gen-6-14-intel-core-ultra-5-125u-16-go-512-go-ch-ordinateur-portable-44743809
Lenovo,Lenovo ThinkPad E16 Gen 2,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 7 7735HS,16 Go,1000 Go,AMD Radeon,Windows,1.81 kg,CHF 879.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e16-gen-2-16-amd-ryzen-7-7735hs-16-go-1000-go-ch-ordinateur-portable-47205853
Apple,Apple MacBook Air - 2025,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M4,16 Go,256 Go,Apple,MacOS,1.24 kg,CHF 935.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2025-1360-m4-16-go-256-go-ch-ordinateur-portable-55649999
Lenovo,Lenovo IdeaPad Slim 5,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core i7-13620H,16 Go,512 Go,,Windows,1.81 kg,CHF 649.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-slim-5-16-intel-core-i7-13620h-16-go-512-go-ch-ordinateur-portable-54741347
Lenovo,Lenovo ThinkBook 14 2-in-1 Gen 4,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,1000 Go,Intel Arc Graphics,Windows,1.64 kg,CHF 979.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-14-2-in-1-gen-4-14-intel-core-ultra-7-155u-16-go-1000-go-ch-ordinateur-portable-43705870
ASUS,ASUS Vivobook S 14 Flip,Ordinateur portable,"14"" 1920 x 1200 pixels",AMD Ryzen 5 7430U,16 Go,512 Go,AMD Radeon,Windows,1.50 kg,CHF 725.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-s-14-flip-14-amd-ryzen-5-7430u-16-go-512-go-ch-ordinateur-portable-53695751
Lenovo,Lenovo ThinkPad E16 Gen 2,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.81 kg,CHF 979.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e16-gen-2-16-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-44744206
ASUS,ASUS VivoBook 17,Ordinateur portable,"17.30"" 1920 x 1080 pixels",Intel Core i5-1335U,16 Go,512 Go,Intel Iris Graphics,Windows,2.10 kg,CHF 699.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-17-1730-intel-core-i5-1335u-16-go-512-go-ch-ordinateur-portable-32910403
Lenovo,Lenovo ThinkBook 14 Gen 7,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.38 kg,CHF 999.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-14-gen-7-14-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-47076729
Lenovo,Lenovo IdeaPad Pro 5 RTX 4050,Ordinateur portable,"16"" 2560 x 1600 pixels",AMD Ryzen 7 8845HS,32 Go,1000 Go,nVidia GeForce,Windows,1.91 kg,CHF 1099.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-pro-5-rtx-4050-16-amd-ryzen-7-8845hs-32-go-1000-go-ch-ordinateur-portable-42919857
ASUS,ASUS ZenBook 14,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 9 285H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.28 kg,CHF 1299.–,https://www.digitec.ch/fr/s1/product/asus-zenbook-14-14-intel-core-ultra-9-285h-32-go-1000-go-ch-ordinateur-portable-48035029
ASUS,ASUS Zenbook A14,Ordinateur portable,"14"" 1920 x 1200 pixels",Snapdragon X Plus X1P-26-100,32 Go,1000 Go,,Windows,0.98 kg,CHF 1059.–,https://www.digitec.ch/fr/s1/product/asus-zenbook-a14-14-snapdragon-x-plus-x1p-26-100-32-go-1000-go-ch-ordinateur-portable-53745210
HP,HP ProBook 440 G11,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 5 125U,16 Go,256 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 889.–,https://www.digitec.ch/fr/s1/product/hp-probook-440-g11-14-intel-core-ultra-5-125u-16-go-256-go-ch-ordinateur-portable-46328608
Acer,Acer Nitro V16 RTX 4060,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 7 8845HS,32 Go,1000 Go,nVidia GeForce,Windows,2.50 kg,CHF 1559.–,https://www.digitec.ch/fr/s1/product/acer-nitro-v16-rtx-4060-16-amd-ryzen-7-8845hs-32-go-1000-go-ch-ordinateur-portable-46486231
Lenovo,Lenovo ThinkBook 16 Gen 7,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 7 7735HS,32 Go,1000 Go,AMD Radeon,Windows,1.70 kg,CHF 799.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-16-gen-7-16-amd-ryzen-7-7735hs-32-go-1000-go-ch-ordinateur-portable-47076912
Apple,Apple MacBook Pro 14 – 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4 Pro,24 Go,1000 Go,Apple,MacOS,1.60 kg,CHF 2111.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-pro-24-go-1000-go-ch-ordinateur-portable-52511240
HP,HP Elite x360 1040 G11,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,512 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 1499.–,https://www.digitec.ch/fr/s1/product/hp-elite-x360-1040-g11-14-intel-core-ultra-7-155h-32-go-512-go-ch-ordinateur-portable-45127326
Dell,Dell Inspiron 3530,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core i5-1334U,16 Go,1000 Go,Iris Xe Graphics,Windows,1.66 kg,CHF 553.–,https://www.digitec.ch/fr/s1/product/dell-inspiron-3530-1560-intel-core-i5-1334u-16-go-1000-go-ch-ordinateur-portable-49553744
Lenovo,Lenovo ThinkPad L13 Yoga Gen 4,Ordinateur portable,"13.30"" 1920 x 1200 pixels",AMD Ryzen 5 7530U,16 Go,512 Go,AMD Radeon,Windows,1.31 kg,CHF 1199.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-l13-yoga-gen-4-1330-amd-ryzen-5-7530u-16-go-512-go-ch-ordinateur-portable-25123224
Lenovo,Lenovo Yoga 7 2-en-1,Ordinateur portable,"16"" 2880 x 1800 pixels",Intel Core Ultra 7 258V,32 Go,1000 Go,Intel Arc Graphics,Windows,1.77 kg,CHF 1499.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-7-2-en-1-16-intel-core-ultra-7-258v-32-go-1000-go-ch-ordinateur-portable-54244901
Lenovo,Lenovo Yoga 9 2-in-1,Ordinateur portable,"14"" 2880 x 1800 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.32 kg,CHF 1699.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-9-2-in-1-14-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-53990622
Apple,Apple MacBook Pro 14 – 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4 Pro,24 Go,512 Go,Apple,MacOS,1.60 kg,CHF 1758.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-pro-24-go-512-go-ch-ordinateur-portable-52511236
Lenovo,Lenovo V15 Gen 4,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Athlon Gold 7220U,8 Go,512 Go,AMD Radeon,Windows,1.65 kg,CHF 339.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-gen-4-1560-amd-athlon-gold-7220u-8-go-512-go-ch-ordinateur-portable-37784161
Lenovo,Lenovo ThinkBook 13x Gen 4,Ordinateur portable,"13.50"" 2880 x 1920 pixels",Intel Core Ultra 9 185H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.16 kg,CHF 999.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-13x-gen-4-1350-intel-core-ultra-9-185h-32-go-1000-go-ch-ordinateur-portable-46724607
Lenovo,Lenovo V15 Gen 2,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Celeron N4500,8 Go,256 Go,Intel UHD Graphics,Sans système d'exploitation,1.70 kg,CHF 242.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-gen-2-sans-systeme-dexploitation-1560-intel-celeron-n4500-8-go-256-go-de-ordinateur-porta-25251278
Lenovo,Lenovo Yoga Pro 7 RTX 3050,Ordinateur portable,"14.50"" 2560 x 1600 pixels",AMD Ryzen 7 8845HS,16 Go,1000 Go,nVidia GeForce,Windows,1.64 kg,CHF 1099.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-pro-7-rtx-3050-1450-amd-ryzen-7-8845hs-16-go-1000-go-ch-ordinateur-portable-40246696
Lenovo,Lenovo IdeaPad Slim 3,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core i7-13620H,16 Go,512 Go,Intel UHD Graphics,Windows,1.68 kg,CHF 599.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-slim-3-16-intel-core-i7-13620h-16-go-512-go-ch-ordinateur-portable-54741345
Apple,Apple MacBook Pro 14 - 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4,24 Go,1000 Go,Apple,MacOS,1.55 kg,CHF 1823.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-24-go-1000-go-ch-ordinateur-portable-52511168
Lenovo,Lenovo Yoga 7 2-in-1,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,1000 Go,Intel Arc Graphics,Windows,1.99 kg,CHF 949.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-7-2-in-1-16-intel-core-ultra-7-155u-16-go-1000-go-ch-ordinateur-portable-42931911
Lenovo,Lenovo V15 Gen 4,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core i5-13420H,16 Go,512 Go,Iris Xe Graphics,Windows,1.65 kg,CHF 549.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-gen-4-1560-intel-core-i5-13420h-16-go-512-go-ch-ordinateur-portable-32990544
Lenovo,Lenovo ThinkBook 16 Gen 7,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 5 125U,16 Go,512 Go,Intel UHD Graphics,Windows,1.70 kg,CHF 1039.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-16-gen-7-16-intel-core-ultra-5-125u-16-go-512-go-ch-ordinateur-portable-46724597
Acer,Acer Aspire 3,Ordinateur portable,"17.30"" 1920 x 1080 pixels",Intel Core i3-N305,8 Go,512 Go,Intel UHD Graphics,Windows,2.10 kg,CHF 519.–,https://www.digitec.ch/fr/s1/product/acer-aspire-3-1730-intel-core-i3-n305-8-go-512-go-ch-ordinateur-portable-46486228
Apple,Apple MacBook Air - 2025,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M4,16 Go,256 Go,Apple,MacOS,1.24 kg,CHF 969.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2025-1360-m4-16-go-256-go-ch-ordinateur-portable-55649989
Lenovo,Lenovo Yoga 7 2-en-1,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 5 125U,16 Go,512 Go,Intel Arc Graphics,Windows,1.99 kg,CHF 799.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-7-2-en-1-16-intel-core-ultra-5-125u-16-go-512-go-ch-ordinateur-portable-47210363
HP,HP Laptop 17-cp3602nz,Ordinateur portable,"17.30"" 1920 x 1080 pixels",AMD Ryzen 7 7730U,16 Go,1000 Go,AMD Radeon,Windows,2.07 kg,CHF 889.–,https://www.digitec.ch/fr/s1/product/hp-laptop-17-cp3602nz-1730-amd-ryzen-7-7730u-16-go-1000-go-ch-ordinateur-portable-54028562
Microsoft,Microsoft Surface Laptop - Copilot+ PC - 7. Edition,Ordinateur portable,"13.80"" 2304 x 1536 pixels",Snapdragon X Elite X1E-80-100,16 Go,512 Go,Qualcomm Adreno,Windows,1.34 kg,CHF 1213.–,https://www.digitec.ch/fr/s1/product/microsoft-surface-laptop-copilot-pc-7-edition-1380-snapdragon-x-elite-x1e-80-100-16-go-512-go-ch-ord-45452055
Apple,Apple MacBook Air - 2024,Ordinateur portable,"13.60"" 2560 x 1600 pixels",M3,16 Go,512 Go,Apple,MacOS,1.24 kg,CHF 1076.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2024-1360-m3-16-go-512-go-ch-ordinateur-portable-43366915
Lenovo,Lenovo Yoga Slim 7,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,16 Go,1000 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 749.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-slim-7-14-intel-core-ultra-7-155h-16-go-1000-go-ch-ordinateur-portable-47210334
ASUS,ASUS Vivobook 15,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core i3-1315U,8 Go,512 Go,Intel UHD Graphics,Windows,1.70 kg,CHF 479.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-15-1560-intel-core-i3-1315u-8-go-512-go-ch-ordinateur-portable-30365191
HP,HP 250 G10,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core i7-1355U,16 Go,512 Go,Iris Xe Graphics,Windows,1.52 kg,CHF 749.–,https://www.digitec.ch/fr/s1/product/hp-250-g10-1560-intel-core-i7-1355u-16-go-512-go-ch-ordinateur-portable-36992522
